tag,value,global_step
train/reward_mean,-61.440101505790565,1024
train/policy_loss,0.07018124984620319,1024
train/value_loss,1492.6414508672497,1024
train/entropy,14.703016531274958,1024
train/best_reward,-35.46372935041977,1024
curriculum/stage,0,1024
train/reward_mean,-65.67028273502429,2048
train/policy_loss,0.010107183869411179,2048
train/value_loss,1614.885675296536,2048
train/entropy,14.703496531274537,2048
train/best_reward,-7.345670940018451,2048
curriculum/stage,0,2048
train/reward_mean,-60.97561706247814,3072
train/policy_loss,0.005512051686267986,3072
train/value_loss,1432.4809411224996,3072
train/entropy,14.70397653127475,3072
train/best_reward,-5.278612012299391,3072
curriculum/stage,0,3072
train/reward_mean,-63.9718333883507,4096
train/policy_loss,-0.0013444054754101374,4096
train/value_loss,1544.3369618552872,4096
train/entropy,14.70445653127496,4096
train/best_reward,-5.278612012299391,4096
curriculum/stage,0,4096
train/reward_mean,-69.16450750281682,5120
train/policy_loss,-0.0013743389618537925,5120
train/value_loss,1705.0461325270794,5120
train/entropy,14.704936531274539,5120
train/best_reward,-5.278612012299391,5120
curriculum/stage,0,5120
train/reward_mean,-58.97640678053157,4096
train/policy_loss,0.049253770211784925,4096
train/value_loss,1418.5211316062037,4096
train/entropy,14.703016531275253,4096
train/best_reward,13.206739735924906,4096
curriculum/stage,0,4096
train/reward_mean,-61.53045652511601,8192
train/policy_loss,0.002122188333928255,8192
train/value_loss,1473.065960329313,8192
train/entropy,14.7034965312759,8192
train/best_reward,21.807724666659958,8192
curriculum/stage,0,8192
train/reward_mean,-62.175763436209245,12288
train/policy_loss,0.00023843983787501596,12288
train/value_loss,1446.9690654040676,12288
train/entropy,14.703976531274414,12288
train/best_reward,28.676600288094143,12288
curriculum/stage,0,12288
train/reward_mean,-60.90829035886487,16384
train/policy_loss,-0.00008804502937341497,16384
train/value_loss,1409.9735217707105,16384
train/entropy,14.704456531275255,16384
train/best_reward,28.676600288094143,16384
curriculum/stage,0,16384
train/reward_mean,-64.94224565841363,20480
train/policy_loss,0.0007422355657150999,20480
train/value_loss,1509.1690369791231,20480
train/entropy,14.704936531275902,20480
train/best_reward,28.676600288094143,20480
curriculum/stage,0,20480
train/reward_mean,-66.89425049367625,24576
train/policy_loss,-0.00024085786848208955,24576
train/value_loss,1588.8000149152595,24576
train/entropy,14.705416531274416,24576
train/best_reward,28.676600288094143,24576
curriculum/stage,0,24576
train/reward_mean,-62.29723063245728,28672
train/policy_loss,0.0005234954147972898,28672
train/value_loss,1480.5197287152844,28672
train/entropy,14.705896531275258,28672
train/best_reward,28.676600288094143,28672
curriculum/stage,0,28672
train/reward_mean,-64.91916703047784,32768
train/policy_loss,0.00033430984373738354,32768
train/value_loss,1609.1123542474277,32768
train/entropy,14.706376531275904,32768
train/best_reward,28.676600288094143,32768
curriculum/stage,0,32768
train/reward_mean,-64.24390807404227,36864
train/policy_loss,0.0000676161709856801,36864
train/value_loss,1504.7674288110375,36864
train/entropy,14.706856531274418,36864
train/best_reward,59.06335624087153,36864
curriculum/stage,0,36864
train/reward_mean,-63.42056403721878,40960
train/policy_loss,-0.00020012404560702552,40960
train/value_loss,1447.2097229868868,40960
train/entropy,14.70733653127526,40960
train/best_reward,59.06335624087153,40960
curriculum/stage,0,40960
train/reward_mean,-61.73688995872779,45056
train/policy_loss,-0.000047209603346160564,45056
train/value_loss,1477.3980340571184,45056
train/entropy,14.707816531275906,45056
train/best_reward,59.06335624087153,45056
curriculum/stage,0,45056
train/reward_mean,-63.17016214515334,49152
train/policy_loss,-0.00005196051974106603,49152
train/value_loss,1503.8782312018504,49152
train/entropy,14.70829653127442,49152
train/best_reward,59.06335624087153,49152
curriculum/stage,0,49152
train/reward_mean,-61.479629825537714,53248
train/policy_loss,-0.00036068810127671527,53248
train/value_loss,1473.60247256314,53248
train/entropy,14.708776531275262,53248
train/best_reward,59.06335624087153,53248
curriculum/stage,0,53248
train/reward_mean,-65.8088828739134,57344
train/policy_loss,0.00018352165892925813,57344
train/value_loss,1607.333799671212,57344
train/entropy,14.709256531275908,57344
train/best_reward,59.06335624087153,57344
curriculum/stage,0,57344
train/reward_mean,-60.76432964671749,61440
train/policy_loss,-0.0000328742696645902,61440
train/value_loss,1476.4377827175451,61440
train/entropy,14.709736531273434,61440
train/best_reward,59.06335624087153,61440
curriculum/stage,0,61440
train/reward_mean,-62.676860153917524,65536
train/policy_loss,-0.00008160418428392182,65536
train/value_loss,1477.2234254213988,65536
train/entropy,14.710216531275265,65536
train/best_reward,59.06335624087153,65536
curriculum/stage,0,65536
train/reward_mean,-66.9355108230507,69632
train/policy_loss,-0.000031466907384126454,69632
train/value_loss,1621.4925041016688,69632
train/entropy,14.71069653127591,69632
train/best_reward,59.06335624087153,69632
curriculum/stage,0,69632
train/reward_mean,-61.83677643192991,73728
train/policy_loss,-0.00003401461961099778,73728
train/value_loss,1505.8546053460063,73728
train/entropy,14.711176531273434,73728
train/best_reward,59.06335624087153,73728
curriculum/stage,0,73728
train/reward_mean,-63.56898098608485,77824
train/policy_loss,-0.00007900301959792866,77824
train/value_loss,1512.435385483697,77824
train/entropy,14.711656531275267,77824
train/best_reward,59.06335624087153,77824
curriculum/stage,0,77824
